?c	?cLabel	?count
<http://www.wikidata.org/entity/Q64732777>	"biological phenomenon"@en	100098
<http://www.wikidata.org/entity/Q71271159>	"olefinic compound"@en	100327
<http://www.wikidata.org/entity/Q61788060>	"human activity"@en	100957
<http://www.wikidata.org/entity/Q1150070>	"change"@en	101014
<http://www.wikidata.org/entity/Q1322005>	"natural phenomenon"@en	101851
<http://www.wikidata.org/entity/Q899851>	"unsaturated compound"@en	101892
<http://www.wikidata.org/entity/Q1183543>	"appliance"@en	106512
<http://www.wikidata.org/entity/Q43229>	"organization"@en	106848
<http://www.wikidata.org/entity/Q854457>	"complex system"@en	106861
<http://www.wikidata.org/entity/Q10547393>	"local politician"@en	109782
<http://www.wikidata.org/entity/Q16334295>	"group of humans"@en	112322
<http://www.wikidata.org/entity/Q16334298>	"group of living things"@en	113166
<http://www.wikidata.org/entity/Q17320256>	"physical process"@en	113507
<http://www.wikidata.org/entity/Q111752858>	"physicochemical process"@en	113548
<http://www.wikidata.org/entity/Q1639378>	"social system"@en	114155
<http://www.wikidata.org/entity/Q61961344>	"group of physical objects"@en	114599
<http://www.wikidata.org/entity/Q1293220>	"physical phenomenon"@en	114963
<http://www.wikidata.org/entity/Q21871294>	"group or class of living things"@en	115041
<http://www.wikidata.org/entity/Q98119401>	"group or class of physical objects"@en	116649
<http://www.wikidata.org/entity/Q1190554>	"occurrence"@en	118717
<http://www.wikidata.org/entity/Q426694>	"terpenoids"@en	119846
<http://www.wikidata.org/entity/Q1674528>	"isoprenoid"@en	120058
<http://www.wikidata.org/entity/Q39546>	"physical tool"@en	120583
<http://www.wikidata.org/entity/Q123691918>	"tool"@en	121013
<http://www.wikidata.org/entity/Q13196193>	"part"@en	123913
<http://www.wikidata.org/entity/Q82955>	"politician"@en	125936
<http://www.wikidata.org/entity/Q10273457>	"equipment"@en	131165
<http://www.wikidata.org/entity/Q41207>	"coin"@en	144022
<http://www.wikidata.org/entity/Q116035976>	"monetiform object"@en	144434
<http://www.wikidata.org/entity/Q106668099>	"corporate body"@en	145647
<http://www.wikidata.org/entity/Q1914636>	"activity"@en	146128
<http://www.wikidata.org/entity/Q18593264>	"item of collection or exhibition"@en	146132
<http://www.wikidata.org/entity/Q860861>	"sculpture"@en	146292
<http://www.wikidata.org/entity/Q35459920>	"three-dimensional object"@en	147123
<http://www.wikidata.org/entity/Q702269>	"professional"@en	149513
<http://www.wikidata.org/entity/Q66194>	"cyclic compound"@en	151488
<http://www.wikidata.org/entity/Q327055>	"worker"@en	154803
<http://www.wikidata.org/entity/Q129586023>	"person with an activity"@en	156296
<http://www.wikidata.org/entity/Q613930>	"thematic relation"@en	156356
<http://www.wikidata.org/entity/Q117747915>	"semantic role"@en	156560
<http://www.wikidata.org/entity/Q123410745>	"geometric object"@en	164124
<http://www.wikidata.org/entity/Q693464>	"cash"@en	164986
<http://www.wikidata.org/entity/Q140830>	"cash and cash equivalents"@en	165007
<http://www.wikidata.org/entity/Q2823610>	"financial asset"@en	165162
<http://www.wikidata.org/entity/Q1368>	"money"@en	165392
<http://www.wikidata.org/entity/Q7598359>	"standard of deferred payment"@en	165393
<http://www.wikidata.org/entity/Q1643989>	"legal tender"@en	165400
<http://www.wikidata.org/entity/Q1659862>	"nominal good"@en	165403
<http://www.wikidata.org/entity/Q190122>	"promissory note"@en	165406
<http://www.wikidata.org/entity/Q11105360>	"medium of exchange"@en	165493
<http://www.wikidata.org/entity/Q15809678>	"financial product"@en	166260
<http://www.wikidata.org/entity/Q2342494>	"collectible"@en	167387
<http://www.wikidata.org/entity/Q427581>	"intangible asset"@en	167527
<http://www.wikidata.org/entity/Q6042535>	"intangible property"@en	167528
<http://www.wikidata.org/entity/Q46737>	"asset"@en	169054
<http://www.wikidata.org/entity/Q1400881>	"property"@en	169612
<http://www.wikidata.org/entity/Q4897819>	"role"@en	171939
<http://www.wikidata.org/entity/Q367293>	"convention"@en	172386
<http://www.wikidata.org/entity/Q4502142>	"visual artwork"@en	172847
<http://www.wikidata.org/entity/Q110910970>	"visual work"@en	173003
<http://www.wikidata.org/entity/Q123241435>	"realizable entity"@en	173648
<http://www.wikidata.org/entity/Q123240632>	"specifically dependent continuant"@en	173651
<http://www.wikidata.org/entity/Q215627>	"person"@en	177526
<http://www.wikidata.org/entity/Q795052>	"individual"@en	177719
<http://www.wikidata.org/entity/Q838948>	"work of art"@en	178459
<http://www.wikidata.org/entity/Q7239>	"organism"@en	190522
<http://www.wikidata.org/entity/Q1554231>	"resource"@en	190602
<http://www.wikidata.org/entity/Q286583>	"manifestation"@en	191173
<http://www.wikidata.org/entity/Q3778211>	"legal person"@en	193681
<http://www.wikidata.org/entity/Q246672>	"mathematical object"@en	201827
<http://www.wikidata.org/entity/Q3249551>	"process"@en	213888
<http://www.wikidata.org/entity/Q17537576>	"creative work"@en	215364
<http://www.wikidata.org/entity/Q16887380>	"group"@en	215639
<http://www.wikidata.org/entity/Q28813620>	"set"@en	215640
<http://www.wikidata.org/entity/Q106559804>	"person or organization"@en	215678
<http://www.wikidata.org/entity/Q31464082>	"source"@en	215693
<http://www.wikidata.org/entity/Q15621286>	"intellectual work"@en	232426
<http://www.wikidata.org/entity/Q67518978>	"occurrent"@en	232610
<http://www.wikidata.org/entity/Q24229398>	"being"@en	260897
<http://www.wikidata.org/entity/Q930933>	"relation"@en	261718
<http://www.wikidata.org/entity/Q66394244>	"physical anatomical entity"@en	291690
<http://www.wikidata.org/entity/Q27043950>	"anatomical entity"@en	292017
<http://www.wikidata.org/entity/Q16889133>	"class"@en	294893
<http://www.wikidata.org/entity/Q5127848>	"class"@en	295641
<http://www.wikidata.org/entity/Q28877>	"goods"@en	307230
<http://www.wikidata.org/entity/Q8205328>	"artificial physical object"@en	322305
<http://www.wikidata.org/entity/Q12774177>	"means"@en	333147
<http://www.wikidata.org/entity/Q18603648>	"contributing factor"@en	347985
<http://www.wikidata.org/entity/Q2897903>	"goods and services"@en	360731
<http://www.wikidata.org/entity/Q813912>	"condition"@en	386497
<http://www.wikidata.org/entity/Q3505845>	"state"@en	390365
<http://www.wikidata.org/entity/Q386724>	"work"@en	404819
<http://www.wikidata.org/entity/Q58415929>	"spatio-temporal entity"@en	404930
<http://www.wikidata.org/entity/Q16686448>	"artificial object"@en	462782
<http://www.wikidata.org/entity/Q483247>	"phenomenon"@en	501178
<http://www.wikidata.org/entity/Q30241068>	"observable entity"@en	505312
<http://www.wikidata.org/entity/Q937228>	"property"@en	673171
<http://www.wikidata.org/entity/Q8054>	"protein"@en	799430
<http://www.wikidata.org/entity/Q3084232>	"polypeptide"@en	799436
<http://www.wikidata.org/entity/Q172847>	"peptide"@en	799873
<http://www.wikidata.org/entity/Q355679>	"carboxamides"@en	802560
<http://www.wikidata.org/entity/Q7048977>	"abstract entity"@en	803801
<http://www.wikidata.org/entity/Q188777>	"amides"@en	810757
<http://www.wikidata.org/entity/Q424689>	"gene product"@en	862688
<http://www.wikidata.org/entity/Q422649>	"biopolymer"@en	863093
<http://www.wikidata.org/entity/Q81163>	"polymer"@en	863513
<http://www.wikidata.org/entity/Q66560214>	"biological macromolecule"@en	863754
<http://www.wikidata.org/entity/Q178593>	"macromolecule"@en	863917
<http://www.wikidata.org/entity/Q11369>	"molecule"@en	864590
<http://www.wikidata.org/entity/Q169336>	"mixture"@en	869604
<http://www.wikidata.org/entity/Q3685323>	"nitrogen compound"@en	880094
<http://www.wikidata.org/entity/Q71782942>	"pnictogen compound"@en	880180
<http://www.wikidata.org/entity/Q9392635>	"carbonyl compound"@en	900496
<http://www.wikidata.org/entity/Q19885597>	"oxo compound"@en	916088
<http://www.wikidata.org/entity/Q214609>	"material"@en	924269
<http://www.wikidata.org/entity/Q20747295>	"protein-coding gene"@en	946019
<http://www.wikidata.org/entity/Q7187>	"gene"@en	1008577
<http://www.wikidata.org/entity/Q15712714>	"biomolecular structure"@en	1008643
<http://www.wikidata.org/entity/Q97669203>	"macromolecular conformation"@en	1008645
<http://www.wikidata.org/entity/Q71574018>	"organooxygen compound"@en	1023775
<http://www.wikidata.org/entity/Q107344349>	"organic oxygen compound"@en	1024355
<http://www.wikidata.org/entity/Q15710813>	"physical structure"@en	1028525
<http://www.wikidata.org/entity/Q5156940>	"oxygen compound"@en	1034537
<http://www.wikidata.org/entity/Q76272846>	"oxygen molecular entity"@en	1034538
<http://www.wikidata.org/entity/Q1454986>	"physical system"@en	1055190
<http://www.wikidata.org/entity/Q55568967>	"biological structure"@en	1098485
<http://www.wikidata.org/entity/Q2393187>	"molecular entity"@en	1103326
<http://www.wikidata.org/entity/Q3366856>	"composite particle"@en	1103677
<http://www.wikidata.org/entity/Q28877390>	"massive quantum particle"@en	1103765
<http://www.wikidata.org/entity/Q2923525>	"massive particle"@en	1103766
<http://www.wikidata.org/entity/Q28693603>	"quantum particle"@en	1103866
<http://www.wikidata.org/entity/Q1621273>	"particle"@en	1104019
<http://www.wikidata.org/entity/Q16686022>	"natural physical object"@en	1112541
<http://www.wikidata.org/entity/Q1970309>	"natural object"@en	1114396
<http://www.wikidata.org/entity/Q206229>	"biomolecule"@en	1123552
<http://www.wikidata.org/entity/Q6671777>	"structure"@en	1148517
<http://www.wikidata.org/entity/Q174211>	"organic compound"@en	1159691
<http://www.wikidata.org/entity/Q2901852>	"carbon compound"@en	1159823
<http://www.wikidata.org/entity/Q58778>	"system"@en	1212202
<http://www.wikidata.org/entity/Q2424752>	"product"@en	1315694
<http://www.wikidata.org/entity/Q99527517>	"collective entity"@en	1581733
<http://www.wikidata.org/entity/Q11173>	"chemical compound"@en	2303129
<http://www.wikidata.org/entity/Q578779>	"pure substance"@en	2305043
<http://www.wikidata.org/entity/Q79529>	"chemical substance"@en	2353477
<http://www.wikidata.org/entity/Q43460564>	"chemical entity"@en	2354827
<http://www.wikidata.org/entity/Q10683158>	"substance"@en	2377175
<http://www.wikidata.org/entity/Q28555911>	"ordinary matter"@en	2378526
<http://www.wikidata.org/entity/Q6005984>	"baryonic matter"@en	2378568
<http://www.wikidata.org/entity/Q10547012>	"common matter"@en	2378601
<http://www.wikidata.org/entity/Q35758>	"matter"@en	2378672
<http://www.wikidata.org/entity/Q28732711>	"physical substance"@en	2378891
<http://www.wikidata.org/entity/Q378078>	"substance"@en	2378896
<http://www.wikidata.org/entity/Q223557>	"physical object"@en	2724621
<http://www.wikidata.org/entity/Q53617407>	"material entity"@en	2745101
<http://www.wikidata.org/entity/Q53617489>	"independent continuant"@en	2842169
<http://www.wikidata.org/entity/Q103940464>	"continuant"@en	2847652
<http://www.wikidata.org/entity/Q4406616>	"concrete object"@en	3971677
<http://www.wikidata.org/entity/Q488383>	"object"@en	4179072
<http://www.wikidata.org/entity/Q35120>	"entity"@en	4371242
