# Find the classes of various orders
# The last two queries cause a memory leak in some versions of QLever
wikidata-top-sixth	All sixth-order classes
wikidata-top-fifth-root	Roots of fifth-order classes
wikidata-top-fifth	All fifth-order classes
wikidata-top-fourth-root	Roots of fourth-order classes
wikidata-top-fourth	All fourth-order classes
wikidata-top-third-root	Roots of third-order classes
wikidata-top-third	All third-order classes
wikidata-top-second-root	Roots of second-order classes
wikidata-top-second	All second-order classes
wikidata-top-first-root	Roots of first-order classes
wikidata-top-first	All first-order classes, using a subquery to cut down on memory usage in older versions of QLever
wikidata-top-first-unoptimized	All first-order classes
